player_name,runs,balls,wickets,boundaries,strike_rate
R Oa,49,427,28,1,11.48
V Araa,22,436,25,0,5.05
M Tom,50,329,16,0,15.2
A Aitken,9,62,0,0,14.52
B de Leede,960,1028,0,93,93.39
EE Corder,4,62,2,0,6.45
J van Vliet,7,17,0,0,41.18
S Siegers,98,807,34,1,12.14
J Cleetus,11,10,0,0,110.0
N Vare,289,376,1,27,76.86
RS Glen,245,271,1,24,90.41
RK Willis,57,88,0,4,64.77
S Saengsakaorat,30,43,0,1,69.77
O Kamchomphu,160,1227,64,10,13.04
P Nakitende,1,3,0,0,33.33
S Nampiina,501,705,18,49,71.06
N Sharma,32,60,0,1,53.33
I Toua,36,279,11,1,12.9
N D'souza,23,92,1,0,25.0
IS Mananelage,15,26,0,0,57.69
WA Duraisingam,1193,2435,49,91,48.99
Ainna Hamizah Hashim,416,1471,41,24,28.28
Noor Hayati Zakaria,30,171,2,0,17.54
Sasha Azmi,95,635,29,3,14.96
Nur Nadihirah,21,172,5,0,12.21
Zumika Azmi,55,242,3,2,22.73
Mahirah Izzati Ismail,421,1358,50,25,31.0
Yusrina Yaakop,93,158,0,6,58.86
Christina Baret,105,209,0,2,50.24
Mas Elysa,1152,1739,38,92,66.24
J Intan,150,256,2,9,58.59
S Saenya,2,12,1,0,16.67
Muneeba Ali,1394,1406,0,154,99.15
MR Meshram,77,141,0,4,54.61
Wan Julia,695,903,0,50,76.97
Javeria Rauf,99,152,1,11,65.13
Aina Najwa,117,200,0,1,58.5
M Shehani,53,168,5,5,31.55
H Madavi,1630,1599,0,174,101.94
TE Kane,51,111,6,6,45.95
D Hemalatha,291,380,9,36,76.58
A Reddy,105,729,29,8,14.4
Umaima Sohail,513,934,22,41,54.93
SA Campbelle,1089,1470,14,91,74.08
NY McLean,389,391,0,40,99.49
Lata Mondal,190,425,3,8,44.71
LCN Smith,29,342,20,0,8.48
KL Gordon,3,117,11,0,2.56
TS Sekhukhune,54,637,37,0,8.48
C Raack,66,349,16,5,18.91
Ritu Moni,453,1102,31,32,41.11
SIP Fernando,42,699,37,0,6.01
CA Henry,491,1131,22,38,43.41
M Joshi,7,139,2,0,5.04
F Tunnicliffe,95,116,0,9,81.9
Y Fourie,11,121,7,1,9.09
WK Dilhari,596,1606,57,53,37.11
TJ Vlaeminck,58,402,18,0,14.43
L Winfield,445,366,0,57,121.58
SIR Dunkley,935,782,1,115,119.57
Sharmin Akhter,163,259,0,13,62.93
Imam-ul-Haq,21,25,0,2,84.0
JC Archer,103,659,38,8,15.63
BM Duckett,325,222,0,42,146.4
Mohammad Hasnain,79,661,29,3,11.95
O Thomas,69,456,22,2,15.13
FA Allen,312,792,24,37,39.39
DM Bravo,439,400,0,46,109.75
SE Rutherford,422,335,2,52,125.97
DJ Mitchell,1362,1067,8,139,127.65
SC Kuggeleijn,111,374,16,12,29.68
BM Tickner,35,383,21,0,9.14
CBRLS Kumara,87,587,39,2,14.82
CA Gurrey,20,28,0,4,71.43
FL Mackay,242,525,16,25,46.1
PS Punia,9,17,0,1,52.94
RA Mair,93,656,32,2,14.18
S Smith,28,65,2,1,43.08
R Searle,14,15,0,1,93.33
MR Marsh,1737,1572,19,215,110.5
NM Lyon,7,37,1,0,18.92
AY Patel,13,174,11,0,7.47
Waqas Maqsood,0,11,2,0,0.0
S Ravikumar,79,160,4,4,49.38
K Pierre,41,205,7,2,20.0
D Bishoo,21,154,8,2,13.64
OC McCoy,152,822,51,10,18.49
JD Campbell,11,22,0,2,50.0
L Mophakedi,644,866,0,60,74.36
M Matobole,14,27,1,1,51.85
O Batisani,308,367,1,29,83.92
T Koloi,25,83,2,0,30.12
S Mosweu,558,899,21,67,62.07
B Lekau,48,177,2,0,27.12
T Legaabile,139,399,12,4,34.84
B Phelenyane,71,282,7,0,25.18
T Ramabitsa,55,166,5,3,33.13
R Khasana,26,81,2,1,32.1
G Matome,479,1265,42,34,37.87
T Kobeli,88,241,2,7,36.51
T Khabo,105,292,1,1,35.96
A Mokgotlhe,367,817,14,27,44.92
M Tsarsi,46,87,0,4,52.87
P Pheko,30,67,0,2,44.78
B Mpedi,127,332,15,10,38.25
M Moalosi,34,72,0,0,47.22
M Ramafifi,32,183,6,0,17.49
O Keitsemang,75,308,13,1,24.35
M Mabvuka,37,82,1,2,45.12
SN Shihepo,279,859,40,16,32.48
T Mpandakwaya,75,117,1,3,64.1
S Namusha,7,126,4,0,5.56
T Luka,144,252,5,7,57.14
W Mwatile,664,1668,52,52,39.81
V Hamunyela,94,886,40,1,10.61
JA Diergaardt,654,1275,31,55,51.29
M Dailesi,1,14,0,0,7.14
KA Green,749,1833,64,54,40.86
S Hussein,50,121,2,3,41.32
D Foerster,181,605,21,12,29.92
S Dzimau,21,39,0,1,53.85
D Ndipo,31,29,0,4,106.9
B Ndipo,18,64,3,0,28.12
V Phiri,24,241,17,0,9.96
Yasmeen Khan,1286,1336,0,130,96.26
A van der Merwe,782,892,0,65,87.67
T Katunga,1,7,0,0,14.29
M King,33,68,0,2,48.53
Adama Kamara,93,238,3,3,39.08
M Sankoh,123,210,0,5,58.57
Aminata Kamara,224,371,4,16,60.38
AM Kamara,382,633,11,31,60.35
L Bull,127,201,4,5,63.18
Z Kamara,101,247,6,9,40.89
I Koroma,27,43,0,4,62.79
F Bangur,16,96,2,0,16.67
J Kowa,124,393,15,7,31.55
O Mondlane,231,289,2,24,79.93
M Matine,50,72,0,5,69.44
E Moiane,76,100,2,8,76.0
P Cuinica,271,501,5,15,54.09
C Magaia,286,397,14,27,72.04
A Salomao,96,318,14,3,30.19
I Chuma,136,316,9,9,43.04
O Matsolo,151,406,7,1,37.19
A Cossa,44,113,3,1,38.94
M Mohasane,12,21,0,1,57.14
C Murrombe,66,259,7,3,25.48
F Guirrugo,42,156,3,3,26.92
P Modimo,23,53,3,0,43.4
F Samanyika,362,776,9,21,46.65
Reehana Khan,51,159,9,3,32.08
L Khotso,14,70,1,0,20.0
E Simeon,2,4,0,0,50.0
C Kauripeke,0,18,1,0,0.0
EU Kejarukua,14,98,9,0,14.29
D Dzimau,7,46,2,0,15.22
R Kassim,4,33,1,0,12.12
N Tsiame,1,4,0,0,25.0
T Chabila,21,137,2,0,15.33
Ashfaq Ahmed,143,149,2,20,95.97
Chirag Suri,767,654,0,94,117.28
Amir Hayat,8,92,7,0,8.7
K Ramharack,28,692,34,0,4.05
SACA King,356,576,10,34,61.81
KL Cross,25,324,14,0,7.72
LA Marsh,357,976,31,53,36.58
GA Elwiss,34,121,5,3,28.1
MK Villiers,56,287,20,8,19.51
SC Getkate,297,574,17,25,51.74
Ziaur Rahman,106,180,6,10,58.89
Sayed Shirzad,3,75,4,0,4.0
U Thimashini,41,51,0,6,80.39
WGAKK Kulasuriya,48,580,22,0,8.28
L Goodall,263,236,0,29,111.44
M Markande,0,24,0,0,0.0
PSP Handscomb,33,33,0,1,100.0
CR Ervine,1554,1408,0,173,110.37
MR Adair,937,2585,139,83,36.25
GJ Delany,1153,1817,46,130,63.46
CP Rizwan,325,291,0,30,111.68
A Bohara,89,1233,77,2,7.22
Mohammad Boota,127,115,1,13,110.43
PS Airee,91,98,0,10,92.86
G Malla,841,672,0,101,125.15
DS Airee,1779,2000,55,202,88.95
S Jora,394,325,0,38,121.23
RK Paudel,1328,1207,10,139,110.02
P Sarraf,122,211,2,18,57.82
B Bhandari,401,320,0,46,125.31
H Deol,293,425,7,29,68.94
BS Fulmali,27,33,0,2,81.82
RAJ Smith,16,49,0,1,32.65
Aamir Kaleem,364,740,30,34,49.19
Fayyaz Butt,218,1005,49,15,21.69
Jay Odedra,7,49,0,0,14.29
Jatinder Singh,1083,911,0,123,118.88
Sandeep Goud,196,278,4,14,70.5
Wasim Ali,1,40,0,0,2.5
A Neill,11,102,8,0,10.78
Sufyan Mehmood,27,106,3,2,25.47
Zhang Mei,153,175,0,12,87.43
C Zhou,142,252,0,10,56.35
Zheng Lili,26,178,1,1,14.61
Huang Zhuo,132,217,0,7,60.83
F Song,80,156,6,4,51.28
Zhang Chan,59,84,0,3,70.24
Han Lili,134,372,17,8,36.02
Wu Juan,21,220,14,0,9.55
Wang Meng,7,166,9,0,4.22
Zhang Xiangxue,11,57,2,0,19.3
L Jie,26,238,13,0,10.92
Sabreen Zaki,33,68,0,3,48.53
Maryam Omar,577,1167,26,47,49.44
Priyada Murali,625,1285,24,55,48.64
Siow Tzin Yee,643,705,1,64,91.21
Mariamma Hyder,238,1101,45,19,21.62
Amna Tariq,333,1271,39,14,26.2
Maria Jasvi,174,909,38,2,19.14
Madeeha Zuberi,13,88,2,0,14.77
Nur Arianna Natsya,206,856,37,4,24.07
SL Gomez,215,334,1,9,64.37
Khadija Khalil,270,536,12,10,50.37
Maryyam Ashraf,80,122,1,7,65.57
Zeefa Jilani,392,696,11,44,56.32
M Hill,1380,2120,44,151,65.09
M Bibi,318,1009,46,9,31.52
JE Titmuss,24,107,5,2,22.43
Chan Ka Man,107,1215,61,2,8.81
KY Chan,997,1983,84,76,50.28
MBA Lamplough,179,355,2,8,50.42
Ruchitha Venkatesh,219,797,19,5,27.48
YS To,119,319,9,5,37.3
I Seneviratne,19,27,0,2,70.37
Vaishnave Mahesh,197,1421,87,7,13.86
Bella Poon,90,136,0,9,66.18
Y Daswani,508,735,0,28,69.12
JM Davies,14,46,0,0,30.43
K Shrestha,288,363,0,24,79.34
SR Magar,890,1801,54,65,49.42
I Barma,659,1317,34,38,50.04
RC Belbashi,804,1719,47,86,46.77
Nary Thapa,49,192,13,3,25.52
S Magar,111,252,3,6,44.05
S Khadka,36,99,2,2,36.36
K Kunwar,330,1120,45,20,29.46
Karuna Bhandari,14,269,18,0,5.2
M Wai Siu,100,702,32,0,14.25
M Gaur,70,475,13,0,14.74
Mahnoor Mahmood,1,7,0,0,14.29
Mofida Kocchargi,0,2,0,0,0.0
Wan Nor Zulaika,52,235,6,2,22.13
Roma Thapa,58,83,0,4,69.88
MM Chaudhary,16,38,0,1,42.11
LI Haoye,15,185,12,0,8.11
Iqra Ishaq,14,47,0,0,29.79
Apsari Begam,159,234,0,13,67.95
S Dharnidharka,342,1110,46,15,30.81
Hung Ying Ho,3,30,0,0,10.0
M Yousaf,32,103,3,1,31.07
Emylia Eliani,1,7,0,0,14.29
Chen Yue,56,90,0,5,62.22
B Rawal,257,366,0,20,70.22
A Bidari,2,26,1,0,7.69
Shafali Verma,2181,1854,15,312,117.64
A Sutherland,202,723,33,21,27.94
LAGL Kirby,70,72,0,7,97.22
S Lateh,16,59,2,0,27.12
JM Kerr,187,799,18,16,23.4
N Mlaba,71,1158,55,1,6.13
S Glenn,193,1483,86,16,13.01
RM Ghosh,928,668,0,130,138.92
Sadia Iqbal,72,1118,59,2,6.44
S Mostary,525,617,0,51,85.09
H Karunaratne,157,239,0,12,65.69
S Sandeepani,0,7,0,0,0.0
Syeda Aroob Shah,31,277,8,1,11.19
AA Alleyne,418,978,19,36,42.74
FR Davies,56,493,25,0,11.36
M Methtananda,0,12,0,0,0.0
DC Smith,474,789,18,44,60.08
Surinder Singh,12,92,4,0,13.04
GR Russ,156,214,0,13,72.9
R Mahajan,3,62,2,0,4.84
HER Tyler,287,445,12,33,64.49
CJA Amini,964,1507,40,93,63.97
Karweng NG,26,88,0,1,29.55
J Hill,42,104,3,3,40.38
J Kila,77,158,3,9,48.73
JH Kiani,29,62,1,2,46.77
R Goodwin,37,71,0,1,52.11
D Ravu,56,360,22,4,15.56
MP Biddappa,70,105,0,5,66.67
Kuldeep Singh,9,17,0,0,52.94
J Rasu,564,935,28,52,60.32
A Mansale,610,592,6,57,103.04
N Pokana,94,541,23,2,17.38
N Nipiko,840,1138,37,77,73.81
G Kaltongga,10,12,0,1,83.33
J Dunn,36,41,0,1,87.8
J Vira,112,118,0,8,94.92
R Tari,281,256,0,20,109.77
SH Obed,81,252,13,6,32.14
CC Blake,5,52,1,0,9.62
JW Chilia,20,183,4,0,10.93
W Nalisa,127,568,29,8,22.36
J Long,6,20,1,0,30.0
Vimal Kumar,25,72,0,0,34.72
K Doriga,347,329,0,30,105.47
C Tommy,189,197,0,14,95.94
W Viraliliu,14,81,1,0,17.28
ZK Shem,9,38,1,0,23.68
Fatima Sana,490,1221,43,46,40.13
S Jafta,122,97,0,13,125.77
Rameen Shamim,26,191,2,3,13.61
N Shangase,66,242,17,3,27.27
JS Malhotra,259,237,0,27,109.28
XM Marshall,292,267,0,30,109.36
MD Patel,598,463,0,83,129.16
KRP Silva,34,26,0,5,130.77
HR Walsh,187,808,35,14,23.14
Aaron Jones,661,697,8,65,94.84
Jasdeep Singh,161,646,28,7,24.92
SN Netravalkar,68,745,36,2,9.13
EH Hutchinson,25,58,2,3,43.1
TK Patel,20,151,11,1,13.25
Abdul Shakoor,197,211,0,15,93.36
D Weston,19,18,0,2,105.56
GRD Munasinghe,8,110,8,0,7.27
VB Chikkannaiah,467,442,0,42,105.66
NA Maiolo,41,140,4,3,29.29
Baljit Singh,67,178,6,5,37.64
Mudassar Muhammad,94,93,0,7,101.08
R Pillai,25,32,0,1,78.12
Rakibul Hasan,35,152,7,5,23.03
MJ Ross,60,90,2,5,66.67
Amir Mangal,56,57,1,6,98.25
Ahmed Wardak,46,172,10,5,26.74
S Arachchige,0,26,2,0,0.0
Abdul-Shakoor Rahimzei,288,352,6,28,81.82
Sahir Naqash,360,715,41,29,50.35
GP Meade,335,499,9,28,67.13
Izatullah Dawlatzai,45,241,12,4,18.67
BBJL Perera,283,251,0,35,112.75
Muslim Yar,205,955,51,18,21.47
Rehman Abdul,54,53,0,3,101.89
Asad Mohammad,12,116,4,1,10.34
T Modise,62,121,0,3,51.24
I van Zyl,262,1236,46,5,21.2
SA Wittmann,712,1273,24,76,55.93
B Madimabe,54,137,0,2,39.42
M Short,87,240,15,3,36.25
B Gaanamong,51,130,6,1,39.23
T Shadrack,367,1167,35,12,31.45
V Thari Thari,5,23,1,0,21.74
M Bosman,3,8,0,0,37.5
A van Schoor,45,32,0,3,140.62
M Mupachikwa,1067,1212,0,92,88.04
SM Mayers,720,752,2,83,95.74
CS Mugeri-Tiripano,955,823,0,112,116.04
M Musonda,926,817,0,99,113.34
J Nkomo,516,1363,58,30,37.86
R Haiong,69,176,2,1,39.2
T Granger,25,117,9,2,21.37
A Mazvishaya,39,446,24,0,8.74
AC Mushangwe,23,296,23,0,7.77
P Marange,235,1127,47,19,20.85
L Phiri,61,352,18,3,17.33
J Sainda,5,25,0,0,20.0
D Busingye,131,169,1,8,77.51
NK Bagenda,121,163,0,6,74.23
M Sheriff,17,60,1,1,28.33
B Etim,273,600,12,23,45.5
R Samson,66,355,16,1,18.59
M Desmond,34,218,13,0,15.6
T Abdulquadri,35,167,9,2,20.96
A Obulor,62,194,6,4,31.96
A Igbobie,58,121,0,2,47.93
B Nwobodo,55,81,0,1,67.9
S Agazuma,88,113,0,5,77.88
S Walaza,48,336,7,2,14.29
NN Saidi,100,356,15,3,28.09
PZ Kamunya,188,771,46,15,24.38
TS Omary,45,208,6,2,21.63
FO Kibasu,718,834,14,82,86.09
NO Tindo,3,63,3,0,4.76
Zinaida Jeremiah,20,157,10,1,12.74
M Pascal,309,348,3,34,88.79
HM Omary,278,333,0,16,83.48
NJ Pius,216,323,6,13,66.87
GL Mushi,25,41,0,3,60.98
SH Mohamedi,140,161,0,14,86.96
MD Bimenyimana,850,1767,61,75,48.1
M Vumiliya,102,432,23,5,23.61
G Ishimwe,757,955,7,68,79.27
V Iriho,32,154,3,1,20.78
J Nyirankundineza,33,438,25,1,7.53
H Ishimwe,622,1469,68,55,42.34
DI Dusabemungu,34,79,0,1,43.04
S Uwera,222,308,0,14,72.08
C Uwamahoro,242,273,0,23,88.64
D Mukarurangwa,69,100,0,3,69.0
A Uwimbabazi,42,60,0,0,70.0
M Ochieng,34,208,11,2,16.35
E Waithaka,21,185,6,0,11.35
M Mwangi,158,365,13,11,43.29
E Wachira,423,1199,49,25,35.28
M Ndhambi,28,58,1,3,48.28
D Njoroge,277,311,0,23,89.07
SW Kinyua,44,61,0,1,72.13
V Abuga,393,434,0,47,90.55
M Ngoche,139,191,0,17,72.77
S Juma,194,187,0,23,103.74
V Ooko,427,506,0,41,84.39
N Squire,0,11,0,0,0.0
I Muhawenimana,100,485,16,1,20.62
N Mutasa,8,80,7,0,10.0
N Sibanda,48,685,38,1,7.01
H Ayoka,7,8,0,0,87.5
F Fyneface,0,1,0,0,0.0
G Ephraim,0,10,0,0,0.0
OS Oyronke,3,13,0,0,23.08
A Ndiraya,158,218,6,12,72.48
A Ikuzwe,311,901,40,13,34.52
V Mansale,52,261,13,1,19.92
R Andrew,278,513,20,25,54.19
S Solman,173,423,9,15,40.9
L Tastuki,37,112,2,2,33.04
A Chilia,116,216,1,9,53.7
N Navaika,156,484,24,8,32.23
V Langiatu,149,194,0,18,76.8
JC Sokomanu,4,13,0,0,30.77
M Carlot,29,57,0,1,50.88
MV Fare,13,15,0,1,86.67
NM Ambo,17,137,9,0,12.41
M Tarimiala,11,15,0,0,73.33
Erika Oda,499,518,0,58,96.33
NMP Suwandewi,72,464,18,1,15.52
A Kitayama,30,44,0,1,68.18
N Sitompul,10,78,6,0,12.82
R Endo,51,121,5,1,42.15
Eri Iko,37,50,0,2,74.0
T Hanum,2,37,4,0,5.41
M Yanagida,455,896,19,27,50.78
NKF Rada Rani,219,317,1,7,69.09
M Kanno,63,186,4,4,33.87
K Winda Prastini,214,311,3,14,68.81
M Shiraishi,26,63,0,1,41.27
S Miyaji,123,356,7,7,34.55
Y Anggraeni,82,84,0,11,97.62
N Tokizawa,48,184,6,1,26.09
T Wigradianti,9,13,0,1,69.23
K Nanno,10,55,1,0,18.18
NPAN Sakarini,551,618,0,48,89.16
Yuliana,5,9,0,0,55.56
P Haryanti,0,2,0,0,0.0
E Eduard,1,37,3,0,2.7
M Vuruna,19,32,0,1,59.38
I Waqavakatoga,118,146,0,13,80.82
S Lomani,43,65,0,4,66.15
M Vua,26,96,2,1,27.08
R Muriyalo,135,278,6,8,48.56
W Ofamoli,17,36,0,1,47.22
S Lote,2,8,0,0,25.0
L Samani,8,24,0,0,33.33
M Tilau,9,62,4,0,14.52
A Tagilala,33,68,0,2,48.53
L Vua,1,5,0,0,20.0
LS Mulivai,29,98,1,0,29.59
LO Telea,3,49,5,0,6.12
T Lafai,78,234,1,7,33.33
MI Tato,3,44,3,0,6.82
V Tari,3,14,0,0,21.43
T Iosefo,11,42,3,0,26.19
M Mete,2,21,1,0,9.52
RSM Lili'i,52,70,0,3,74.29
LA Bourne,4,17,0,0,23.53
FLV Pula,29,55,0,3,52.73
L Vuadreu,9,30,4,0,30.0
A Kano,250,317,0,11,78.86
R Kanai,29,114,2,2,25.44
L Rika,10,26,0,0,38.46
K Taniguchi,3,18,0,0,16.67
A Kanada,46,74,3,2,62.16
AAIP Bastari,30,28,0,3,107.14
KML Nonu,15,16,0,1,93.75
EA Burns,33,68,1,6,48.53
PWH de Silva,772,2229,127,86,34.63
PBB Rajapaksa,755,556,0,91,135.79
BOP Fernando,141,120,0,15,117.5
SPD Smith,1155,1198,18,123,96.41
GSNFG Jayasuriya,260,366,4,28,71.04
Iftikhar Ahmed,1057,1105,10,112,95.66
Mohammad Irfan,31,475,18,0,6.53
SA Abbott,61,418,28,2,14.59
Khushdil Shah,378,378,3,39,100.0
Muhammad Musa,1,48,0,0,2.08
SK Chandhrasekar,64,113,0,3,56.64
Mahewish Khan,16,59,4,1,27.12
EH Rendler,67,68,0,8,98.53
A Perera,102,218,6,5,46.79
Saniyah Zia,84,257,10,3,32.68
S Sriharsha,441,461,0,40,95.66
Hiba Shamshad,2,71,2,0,2.82
KN Mirchandani,43,114,1,2,37.72
Hala Azmat,9,91,4,0,9.89
S Bhaskar,138,165,0,15,83.64
NT Gruny,55,93,0,4,59.14
OT Wallerson,46,178,6,1,25.84
S Ramautar,24,132,3,1,18.18
M Patel,18,43,0,2,41.86
L Ramjit,153,292,7,12,52.4
C Beckford,5,68,5,0,7.35
S Farooq,13,139,3,0,9.35
M Khokhar,56,95,0,6,58.95
U Iftikhar,29,230,10,1,12.61
C Martin,25,25,0,2,100.0
Kainat Qazi,34,56,0,3,60.71
Maliha Baig,0,2,0,0,0.0
C Atkins,1,2,0,0,50.0
G Kodali,102,357,10,3,28.57
F Baleri,77,94,0,6,81.91
Z Groenewald,31,209,8,0,14.83
R Bakum,551,687,17,56,80.2
S Ateak,45,48,0,7,93.75
JJ Smit,1034,1424,50,112,72.61
C Viljoen,85,306,21,8,27.78
JN Frylinck,850,1670,59,67,50.9
SL Perera,12,24,0,0,50.0
BM Scholtz,109,1413,73,6,7.71
DNA Ankrah,33,124,4,2,26.61
T Lungameni,83,724,29,3,11.46
JH Mensah,17,10,0,2,170.0
M Aboagye,119,356,9,5,33.43
IKO Aboagye,19,122,6,0,15.57
DK Anefie,263,555,15,20,47.39
SJ Baard,702,607,0,75,115.65
N Davin,952,689,0,133,138.17
V Ateak,13,130,7,0,10.0
KS Bagabena,176,654,20,6,26.91
Z Arinaitwe,28,28,0,4,100.0
A Rangaswamy,47,170,12,1,27.65
HB Kayondo,114,105,0,10,108.57
M Mooketsi,57,627,28,1,9.09
RG Mukasa,1049,870,0,143,120.57
A Otwani,158,157,0,21,100.64
JWN Moses,51,101,0,5,50.5
N Master,26,44,1,4,59.09
K Modise,16,46,4,3,34.78
DM Nakrani,959,1757,73,112,54.58
R Nehonde,568,858,19,53,66.2
Riazat Ali Shah,1364,1774,46,139,76.89
D Muhumuza,287,467,11,28,61.46
E Isaneez,12,71,3,0,16.9
T Perera,265,302,0,35,87.75
C Waiswa,30,134,10,2,22.39
F Nsubuga,186,1114,52,15,16.7
K Mothlhanka,125,130,0,13,96.15
I Master,59,86,2,3,68.6
H Ssenyondo,77,1350,77,0,5.7
V Balakrishnan,276,298,2,31,92.62
T Tshose,191,349,11,18,54.73
DM Gondaria,222,186,1,23,119.35
AA Obanda,742,597,0,107,124.29
IA Karim,1129,1057,0,110,106.81
G Bakiweyem,191,745,28,4,25.64
CO Obuya,1632,1704,27,186,95.77
RR Patel,1561,1647,39,199,94.78
SO Ngoche,612,2083,106,58,29.38
LN Oluoch,380,1208,58,29,31.46
E Otieno,80,559,29,1,14.31
JK Vifah,449,494,6,48,90.89
E Ochieng,27,137,4,2,19.71
NM Odhiambo,446,821,20,38,54.32
P Kerai,2,56,4,0,3.57
MG Erasmus,1663,2101,59,180,79.15
ZE Green,524,494,0,53,106.07
K Birkenstock,82,70,1,13,117.14
Ovais Yousof,42,59,0,3,71.19
AJ Ayannaike,125,153,0,12,81.7
I Danladi,405,608,17,43,66.61
IO Okpe,522,1255,49,30,41.59
D Maisuria,66,590,55,1,11.19
AA Onikoyi,398,435,0,38,91.49
CN Onwuzulike,239,227,0,25,105.29
VD Adewoye,190,319,10,20,59.56
SA Okpe,313,925,38,21,33.84
CM Akachukwu,91,290,11,5,31.38
Mohameed Taiwo,155,637,21,7,24.33
AM Oyede,51,111,0,2,45.95
B Masaba,424,778,25,43,54.5
Z Abbasi,22,43,1,3,51.16
T Phaswana,0,3,0,0,0.0
R Olipa,4,11,0,0,36.36
SR Bhudia,509,603,9,57,84.41
S MacMahon,67,337,10,4,19.88
L Little,82,206,3,6,39.81
U Raymond-Hoey,29,51,0,0,56.86
R Stokell,598,598,0,60,100.0
AL Kerrison,1,30,0,0,3.33
AS Wright,52,48,0,6,108.33
CAJ Meschede,188,214,5,22,87.85
MWR Stokes,511,730,16,51,70.0
J Butler,691,785,20,73,88.03
DR Hooper,106,446,17,3,23.77
V Ganesan,564,966,26,52,58.39
LJ Barker,40,45,0,4,88.89
LB Ferbrache,258,277,0,15,93.14
TCR Kimber,6,13,0,0,46.15
LC Le Tissier,136,249,11,19,54.62
ACF Stokes,33,284,15,1,11.62
TCW Veillard,6,78,6,0,7.69
W Peatfield,43,365,27,2,11.78
H Singh,514,414,1,61,124.15
ND Laegsgaard,546,810,30,70,67.41
P Bhart,32,217,8,0,14.75
HAM Shah,975,1009,22,107,96.63
Junaid Sheikh,25,101,2,2,24.75
Hayatullah Niazi,56,97,2,3,57.73
S Waqas Ahmed,68,215,8,4,31.63
T Bharaj,634,523,0,65,121.22
Raza Iqbal,423,799,26,50,52.94
Delawar Khan,211,424,14,20,49.76
Anique Uddin,149,254,6,9,58.66
Rizwan Mahmood,170,136,0,16,125.0
OD Hald,172,464,21,14,37.07
Zishan Shah,93,87,0,8,106.9
Tafseer Ali,60,116,1,3,51.72
E Ul Haq,79,118,0,7,66.95
Walid Ghauri,318,342,2,35,92.98
Ansar Iqbal,86,95,0,11,90.53
J Jojo,63,237,9,3,26.58
SA Ahmad,627,1071,33,63,58.54
Khizer Ahmed,330,284,0,40,116.2
Abdullah Sheikh,23,102,2,1,22.55
NJ Ferraby,142,138,0,19,102.9
BDH Stevens,239,356,10,22,67.13
C Bisson,103,72,0,13,143.06
JW Jenner,1131,795,0,134,142.26
DG Blampied,238,677,27,12,35.16
Bashir Shah,13,178,11,0,7.3
AW Hawkins-Kay,77,219,8,2,35.16
B Ward,574,1153,56,59,49.78
JE Dunford,94,98,0,11,95.92
CW Perchard,130,859,58,6,15.13
EJB Miles,41,444,28,2,9.23
WJR Robertson,1,20,1,0,5.0
Abdul Hashim,132,144,0,12,91.67
Manpreet Singh,990,911,0,84,108.67
Anam Mollik,9,10,0,1,90.0
Charanjeet Singh,8,39,1,1,20.51
J Sumerauer,257,704,35,19,36.51
JL Martel,17,74,7,2,22.97
Pratik Agnihotri,27,36,0,2,75.0
Nazakat Ali,38,50,1,4,76.0
MJ Richardson,552,510,0,52,108.24
Javed Maroofkhail,98,105,0,6,93.33
OE Newey,61,59,0,2,103.39
Jaspreet Singh,92,379,20,7,24.27
A Bulow,13,13,0,1,100.0
A Sarma,41,47,0,4,87.23
T Bavuma,692,574,0,78,120.56
BC Fortuin,105,523,23,11,20.08
MS Wade,1255,932,0,141,134.66
PJ van Biljon,128,102,0,14,125.49
A Nortje,109,934,61,1,11.67
DF Jacobs,124,202,4,14,61.39
NCK Liyanage,19,84,3,1,22.62
Anowarul Islam,20,42,0,2,47.62
Syed Aziz,2107,2122,34,268,99.29
HJ Jordaan,175,214,0,14,81.78
Nazril Rahman,80,167,3,6,47.9
M Syahadat Ramli,282,378,13,29,74.6
Fitri Sham,165,887,47,11,18.6
N Pathan,159,182,3,17,87.36
Virandeep Singh,2287,2731,68,262,83.74
S Muniandy,965,1477,41,91,65.34
Z Hoque,111,226,4,10,49.12
K Suttisan,4,5,0,1,80.0
Md Shafiqul Haque,95,84,2,11,113.1
C Pengkumta,99,411,14,4,24.09
M Faheem,24,140,9,0,17.14
Shafiq Sharif,201,161,0,28,124.84
Ahmed Faiz,1496,1218,0,167,122.82
Anwar Arudin,199,187,0,26,106.42
K Senamontree,26,203,12,0,12.81
Vichanath Singh,63,315,6,1,20.0
Aminuddin Ramly,256,170,0,30,150.59
Ibrahim Hassan,276,952,32,14,28.99
S Saeed,1,42,2,0,2.38
CA Liyanage,0,7,0,0,0.0
MNR Cooray,116,167,3,15,69.46
Mohamed Mahfooz,63,258,10,2,24.42
NA Janes,9,17,0,1,52.94
Umar Adam,736,1246,47,88,59.07
S Hongsi,33,36,1,4,91.67
Ahmed Hassan,482,486,4,52,99.18
Shafraz Jaleel,0,2,0,0,0.0
Mohamed Rishwan,329,391,0,37,84.14
Hassan Rasheed,189,210,0,15,90.0
WJ Malinda,33,92,1,1,35.87
Anwar Rahman,31,358,22,0,8.66
Ameel Mauroof,100,332,9,4,30.12
Navdeep Saini,28,215,14,2,13.02
Al-Amin Hossain,47,639,46,1,7.36
Aminul Islam,42,233,13,4,18.03
S Dube,490,630,12,51,77.78
Mohammad Naim,850,805,0,93,105.59
